YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
82-83;Denver Nuggets*;82;240.6;48.2;97.5;49.4;0.3;1.5;19;47.9;96.0;49.9;26.6;32.9;80.8;14.8;30.8;45.6;28.5;9.6;4.3;18.2;25.5;123.2;12;27.2;0.548780488;0.451219512;0.512195122;0.487804878;0.62;-0.36;109.7;109.1;112.1;337;16;55;49.5;14.0;31.0;272;50.9;15.1;64.8;220;McNichols Sports Arena;491.253;0
05-06;Denver Nuggets*;82;243.0;37.5;81.4;46.1;4.3;13.1;32.5;33.3;68.2;48.7;21.0;28.2;74.4;11.0;30.3;41.3;23.4;8.5;5.6;14.8;22.7;100.3;15;27.4;0.536585366;0.463414634;0.512195122;0.487804878;0.23;0.13;105.5;105.2;93.9;347;161;53.5;48.8;13.7;26.8;258;49.3;14.7;72.0;227;Pepsi Center;702.555;0
88-89;Denver Nuggets*;82;242.4;46.5;99.3;46.8;2.8;8.2;33.7;43.7;91.0;48;22.2;28.2;78.7;14.7;30.6;45.4;27.8;9.9;5.3;14.9;25.5;118.0;10;29.8;0.536585366;0.463414634;0.548780488;0.451219512;1.70;-0.78;108.6;107.1;107.5;284;83;52.8;48.2;11.8;29.6;224;50.5;15.6;68.9;264;McNichols Sports Arena;527.337;0
03-04;Denver Nuggets*;82;240.6;36.5;82.5;44.3;4.0;12.0;33.6;32.5;70.5;46.1;20.2;26.3;76.7;13.2;29.1;42.3;21.9;9.1;6.3;15.6;22.0;97.2;11;25.6;0.524390244;0.475609756;0.536585366;0.463414634;01.07;0.58;103.9;102.7;93.3;319;146;51.7;46.7;14.2;30.5;245;48.1;15.6;69.3;221;Pepsi Center;721.476;0
89-90;Denver Nuggets*;82;241.5;45.3;97.7;46.4;2.8;8.3;33.7;42.5;89.5;47.5;21.2;26.8;78.9;14.3;30.9;45.1;27.7;9.9;4.0;13.9;25.0;114.6;12;29.5;0.524390244;0.475609756;0.548780488;0.451219512;1.41;0.15;108.0;106.7;105.4;275;84;52.3;47.8;11.2;29.1;217;50.1;15.2;71.3;264;McNichols Sports Arena;484.288;0
93-94;Denver Nuggets*;82;240.9;38.5;82.7;46.5;2.1;7.3;28.5;36.4;75.4;48.3;21.2;29.5;71.8;13.5;31.2;44.7;21.5;8.3;8.4;17.3;23.5;100.3;16;24.8;0.512195122;0.487804878;0.548780488;0.451219512;1.49;0.05;103.9;102.3;96.1;357;88;52.4;47.8;15.3;32.2;256;45.3;13.4;69.6;252;McNichols Sports Arena;673.738;0
94-95;Denver Nuggets*;82;243.7;37.8;78.8;47.9;5.0;14.1;35.6;32.7;64.6;50.7;20.7;28.1;73.8;12.7;29.3;42.0;22.4;8.0;7.1;16.8;25.2;101.3;13;26.6;0.5;0.5;0.524390244;0.475609756;0.84;0.11;109.1;108.2;91.5;357;180;55.6;51.1;15.6;32.0;263;48.7;13.2;70.2;257;McNichols Sports Arena;704.011;0
83-84;Denver Nuggets*;82;241.5;48.0;97.4;49.3;0.9;3.1;30.2;47.0;94.2;49.9;26.8;32.8;81.8;13.8;29.8;43.6;30.3;8.7;4.3;16.4;27.8;123.7;14;27.0;0.463414634;0.536585366;0.463414634;0.536585366;-1.10;-0.17;111.3;112.3;110.5;337;32;55.3;49.8;12.8;29.3;276;52.2;14.6;66.6;277;McNichols Sports Arena;462.407;0
86-87;Denver Nuggets*;82;241.2;45.7;97.0;47.1;1.3;4.8;27.1;44.4;92.2;48.1;24.1;31.3;76.9;15.8;28.9;44.7;28.3;9.2;5.1;14.8;26.6;116.7;14;28.2;0.451219512;0.548780488;0.475609756;0.524390244;-0.87;-0.28;109.3;110.2;106.2;323;49;52.7;47.8;11.8;32.2;248;50.3;15.4;67.0;307;McNichols Sports Arena;494.943;0
92-93;Detroit Pistons;82;241.2;39.8;87.9;45.3;3.6;11.1;32.2;36.3;76.9;47.2;17.4;23.9;72.9;15.8;28.2;44.0;23.7;7.1;3.0;14.0;21.3;100.6;20;29.9;0.487804878;0.512195122;0.451219512;0.548780488;-1.39;0.29;107.4;108.9;93.2;271;126;51.1;47.3;12.5;34.6;198;50;13.5;67.8;212;The Palace of Auburn Hills;889.614;0
17-18;Detroit Pistons;82;241.5;39.1;86.9;45;10.8;28.9;37.3;28.3;58.0;48.8;14.7;19.8;74.5;10.1;33.6;43.7;22.8;7.7;3.9;13.5;18.4;103.8;19;25.9;0.475609756;0.524390244;0.5;0.5;-0.15;-0.11;107.2;107.3;96.2;227;333;54.3;51.2;12.3;22.7;169;52.4;13.7;78.5;172;Little Caesars Arena;713.945;0
81-82;Detroit Pistons;82;241.8;43.4;90.1;48.2;0.6;2.6;24.4;42.8;87.5;48.9;23.6;31.5;75.1;15.8;28.6;44.4;24.7;9.0;6.9;19.9;26.3;111.1;15;24.4;0.475609756;0.524390244;0.475609756;0.524390244;-0.91;0.28;105.8;106.6;104.3;349;29;53.4;48.5;16.0;34.8;262;51.2;16.4;66.9;224;Pontiac Silverdome;391.205;0
16-17;Detroit Pistons;82;241.5;39.9;88.8;44.9;7.7;23.4;33;32.2;65.5;49.2;13.9;19.3;71.9;11.1;34.6;45.7;21.1;7.0;3.8;11.9;17.9;101.3;20;25.4;0.451219512;0.548780488;0.463414634;0.536585366;-1.12;-0.17;106.0;107.1;95.0;218;263;52.1;49.2;10.9;24.1;157;51.6;12.1;81.2;197;The Palace of Auburn Hills;655.141;0
82-83;Detroit Pistons;82;242.4;44.2;92.7;47.7;0.9;3.3;26.5;43.3;89.4;48.4;23.4;31.6;74.2;16.0;30.2;46.2;25.7;8.3;7.0;19.0;25.9;112.7;14;24.6;0.451219512;0.548780488;0.487804878;0.512195122;-0.40;0.24;105.4;105.8;105.8;340;36;52.9;48.1;15.1;33.6;253;49.6;15.4;66.2;214;Pontiac Silverdome;482.571;0
97-98;Detroit Pistons;82;243.4;34.9;77.7;44.9;3.6;11.4;31.2;31.3;66.3;47.3;20.8;27.9;74.5;12.7;28.5;41.2;19.5;8.3;4.2;14.6;22.0;94.2;13;27.2;0.451219512;0.548780488;0.56097561;0.43902439;1.57;0.37;105.3;103.5;88.2;359;147;52.3;47.2;14.0;30.9;267;47.4;14.8;70.2;243;The Palace of Auburn Hills;794.567;0
00-01;Detroit Pistons;82;242.1;35.6;83.9;42.4;4.7;13.6;35;30.9;70.3;43.9;19.6;27.2;72.1;13.5;32.0;45.5;19.9;7.5;5.5;15.9;23.8;95.6;19;27.1;0.390243902;0.609756098;0.43902439;0.56097561;-1.70;-0.39;100.0;101.8;94.7;325;162;49.8;45.3;14.2;29.3;234;46.6;14.0;72.2;233;The Palace of Auburn Hills;607.323;0
14-15;Detroit Pistons;82;241.8;37.1;85.8;43.2;8.6;24.9;34.4;28.5;60.9;46.8;15.8;22.4;70.3;12.8;32.1;44.9;21.6;7.6;4.7;13.4;19.0;98.5;20;25.9;0.390243902;0.609756098;0.463414634;0.536585366;-1.00;-0.39;105.3;106.4;92.8;261;290;51.5;48.2;12.3;27.7;184;50.2;13.2;75.0;192;The Palace of Auburn Hills;625.917;0
11-12;Detroit Pistons;66;241.9;34.7;79.3;43.8;4.8;13.9;34.6;29.9;65.4;45.7;16.6;22.1;75.2;11.7;28.5;40.3;18.7;7.0;4.2;15.7;19.6;90.9;26;26.3;0.378787879;0.621212121;0.333333333;0.666666667;-4.79;-0.40;101.0;106.3;89.2;279;175;51;46.8;15.0;28.1;210;50;14.2;72.8;226;The Palace of Auburn Hills;475.638;0
10-11;Detroit Pistons;82;242.4;37.3;81.1;46;5.8;15.3;37.6;31.5;65.7;47.9;16.7;22.6;73.7;11.4;27.3;38.6;21.1;7.3;4.0;13.0;19.9;97.0;23;27.2;0.365853659;0.634146341;0.37804878;0.62195122;-3.60;-0.18;107.7;111.7;89.2;279;189;53.3;49.5;12.5;27.4;206;52.6;13.8;72.1;235;The Palace of Auburn Hills;683.08;0
12-13;Detroit Pistons;82;241.5;36.3;81.0;44.9;6.3;17.6;35.6;30.1;63.4;47.4;15.9;22.8;69.9;12.1;30.0;42.1;21.2;7.0;4.9;15.1;19.8;94.9;24;25.3;0.353658537;0.646341463;0.353658537;0.646341463;-3.99;-0.34;103.8;108.1;90.8;282;217;52.1;48.7;14.3;28.3;197;50.5;13.1;73.0;209;The Palace of Auburn Hills;606.094;0
13-14;Detroit Pistons;82;241.2;38.8;86.9;44.7;6.2;19.3;32.1;32.6;67.6;48.3;17.3;25.7;67;14.6;30.8;45.4;20.9;8.4;4.8;14.5;20.3;101.0;24;24.7;0.353658537;0.646341463;0.37804878;0.62195122;-3.66;-0.48;105.9;109.7;94.9;296;222;51.4;48.2;12.9;31.4;199;52;13.8;73.4;218;The Palace of Auburn Hills;616.005;0
94-95;Detroit Pistons;82;240.6;37.3;80.9;46.1;6.0;17.0;35.4;31.3;63.9;49;17.5;23.7;74.1;11.7;26.9;38.6;22.8;8.6;5.1;16.1;26.2;98.2;25;26.9;0.341463415;0.658536585;0.268292683;0.731707317;-7.29;0.21;105.1;112.9;93.2;293;210;53.8;49.9;15.0;28.3;217;51;14.2;65.8;299;The Palace of Auburn Hills;719.09;0
09-10;Detroit Pistons;82;241.2;35.9;80.5;44.5;4.6;14.5;31.4;31.3;66.0;47.4;17.7;24.4;72.8;12.8;27.3;40.2;19.4;7.3;3.8;13.4;22.2;94.0;27;26.7;0.329268293;0.670731707;0.317073171;0.682926829;-5.11;0.09;105.6;111.4;88.5;303;180;51.5;47.4;12.8;30.3;220;52.6;14.2;73.4;264;The Palace of Auburn Hills;768.826;0
19-20;Detroit Pistons;66;241.9;39.3;85.7;45.9;12.0;32.7;36.7;27.3;53.0;51.5;16.6;22.4;74.3;9.8;32.0;41.7;24.1;7.4;4.5;15.3;19.7;107.2;23;25.9;0.303030303;0.696969697;0.393939394;0.606060606;-3.56;-0.82;109.0;112.7;97.6;261;381;56.1;52.9;13.8;22.6;194;54.1;12.7;75.9;186;Little Caesars Arena;509.469;0
21-22;Detroit Pistons;82;241.2;38.2;88.6;43.1;11.3;34.6;32.6;26.9;54;49.8;17.2;22;78.2;11;32;43;23.5;7.7;4.8;14.2;21.9;104.8;26;23.6;0.280487805;0.719512195;0.268292683;0.731707317;-7.72;0.37;106;113.8;98.4;249;391;53.3;49.4;12.6;23.4;194;54.1;13.1;75.6;226;Little Caesars Arena;663,556;0
20-21;Detroit Pistons;72;242.1;38.7;85.6;45.2;11.6;32.9;35.1;27.1;52.7;51.5;17.8;23.4;75.9;9.6;33.1;42.7;24.2;7.4;5.2;14.9;20.5;106.6;25;24.5;0.277777778;0.722222222;0.361111111;0.638888889;-4.47;0.09;108.0;112.5;97.9;273;385;55.6;51.9;13.5;21.9;207;54.1;12.6;76.9;195;Little Caesars Arena;14.25;0
80-81;Detroit Pistons;82;240.9;39.5;85.2;46.3;0.2;1.0;15.5;39.3;84.2;46.7;20.6;28.4;72.5;14.6;25.7;40.4;22.2;10.8;6.0;21.5;25.9;99.7;22;24.3;0.256097561;0.743902439;0.292682927;0.707317073;-6.32;0.74;98.1;104.3;101.2;334;12;51;46.4;18.0;33.4;242;51.2;18.6;65.9;242;Pontiac Silverdome;228.348;0
93-94;Detroit Pistons;82;240.6;38.6;85.6;45.2;4.4;12.7;34.4;34.3;72.9;47;15.3;20.9;73.1;12.5;28.3;40.8;21.5;7.3;3.8;15.1;23.6;96.9;26;27.5;0.243902439;0.756097561;0.256097561;0.743902439;-7.78;0.33;102.7;110.9;94.2;244;148;51.1;47.7;13.7;28.4;179;49.3;12.8;66.1;262;The Palace of Auburn Hills;806.641;0
79-80;Detroit Pistons;82;241.2;44.4;92.6;48;0.7;2.7;26;43.7;90.0;48.6;19.4;26.2;74;15.0;29.5;44.4;23.8;9.5;6.9;21.2;25.2;108.9;22;24.7;0.195121951;0.804878049;0.268292683;0.731707317;-8.24;0.67;101.2;108.8;107.1;283;29;52.3;48.3;16.9;32.3;209;49.9;15.2;64.7;239;Pontiac Silverdome;;0
05-06;Detroit Pistons*;82;241.8;36.4;80.0;45.5;6.8;17.7;38.4;29.6;62.3;47.5;17.3;23.8;72.7;11.9;28.6;40.5;24.0;7.1;6.0;11.4;18.5;96.8;2;28.5;0.780487805;0.219512195;0.731707317;0.268292683;6.67;-0.44;110.8;103.1;86.8;297;221;53.5;49.7;11.2;28.9;216;47.7;13.7;71.2;191;The Palace of Auburn Hills;905.116;0
11-12;Miami Heat*;66;243.0;37.1;79.0;46.9;5.6;15.6;35.9;31.5;63.4;49.6;18.8;24.2;77.5;10.4;31.2;41.6;20.0;8.9;5.4;15.2;19.4;98.5;4;28.3;0.696969697;0.303030303;0.712121212;0.287878788;5.98;-0.27;106.6;100.2;91.2;307;198;54.9;50.5;14.5;26.6;238;47.9;15.8;73.9;200;AmericanAirlines Arena;657.855;1
07-08;Detroit Pistons*;82;240.6;36.6;79.9;45.8;5.9;16.2;36.6;30.6;63.7;48.1;18.4;24.0;76.7;11.9;29.5;41.4;22.3;7.1;5.8;11.7;20.6;97.5;2;28.3;0.719512195;0.280487805;0.756097561;0.243902439;7.39;-0.72;111.4;102.9;87.3;300;203;53.9;49.5;11.4;29.4;230;47;13.4;73.7;244;The Palace of Auburn Hills;905.116;0
13-14;San Antonio Spurs*;82;240.9;40.6;83.5;48.6;8.5;21.4;39.7;32.0;62.0;51.7;15.7;20.0;78.5;9.3;34.0;43.3;25.2;7.4;5.1;14.4;18.2;105.4;1;28.9;0.756097561;0.243902439;0.743902439;0.256097561;7.72;0.28;110.5;102.4;95.0;240;257;57.1;53.7;13.5;22.7;188;48.2;12.8;76.4;184;AT&T Center;755.031;1
14-15;Golden State Warriors*;82;240.6;41.6;87.0;47.8;10.8;27.0;39.8;30.8;60.0;51.4;16.0;20.8;76.8;10.4;34.3;44.7;27.4;9.3;6.0;14.5;19.9;110.0;1;26.6;0.817073171;0.182926829;0.792682927;0.207317073;10.10;-0.09;111.6;101.4;98.3;239;311;57.1;54;13.1;24.1;184;47;14.3;74.5;217;Oracle Arena;803.436;1
04-05;Detroit Pistons*;82;243.4;34.8;78.3;44.4;4.4;12.8;34.5;30.3;65.5;46.3;19.4;26.2;73.9;12.9;30.6;43.4;21.8;7.0;6.1;13.8;20.0;93.3;6;27.9;0.658536585;0.341463415;0.646341463;0.353658537;3.87;-0.55;105.6;101.2;87.2;335;164;51.9;47.2;13.3;31.2;247;46.1;13.5;73.0;207;The Palace of Auburn Hills;905.116;0
87-88;Detroit Pistons*;82;241.2;42.2;85.6;49.3;0.7;2.5;28.7;41.5;83.1;49.9;24.1;31.9;75.7;14.4;30.3;44.7;24.5;7.2;4.8;16.4;23.9;109.2;3;27.5;0.658536585;0.341463415;0.658536585;0.341463415;5.17;0.29;110.5;105.3;98.3;372;29;54.8;49.7;14.2;34.2;282;47.5;14.0;68.5;245;Pontiac Silverdome;1.066.505;0
96-97;Detroit Pistons*;82;241.8;34.5;74.3;46.4;7.1;18.3;38.8;27.4;56.0;48.8;18.1;24.3;74.5;10.5;28.0;38.4;19.0;7.7;3.5;12.7;20.1;94.2;6;28.2;0.658536585;0.341463415;0.695121951;0.304878049;5.24;0.20;110.6;104.4;84.5;327;246;55.4;51.2;13.0;27.5;244;48.7;14.6;70.4;197;The Palace of Auburn Hills;784.234;0
06-07;Detroit Pistons*;82;242.4;35.9;79.1;45.4;5.5;15.9;34.4;30.4;63.2;48.1;18.8;24.2;77.4;11.6;29.0;40.5;21.6;7.1;5.8;12.2;20.4;96.0;6;29.0;0.646341463;0.353658537;0.646341463;0.353658537;4.16;-0.47;108.9;104.2;87.3;307;201;53.5;48.8;12.0;28.3;237;47.7;14.3;70.9;234;The Palace of Auburn Hills;905.116;0
86-87;Detroit Pistons*;82;241.8;43.2;88.3;49;0.5;2.1;23.1;42.7;86.2;49.6;24.3;31.7;76.5;15.2;32.3;47.5;24.6;7.8;5.3;17.3;25.3;111.2;6;26.8;0.634146341;0.365853659;0.609756098;0.390243902;3.44;0.07;109.2;105.8;101.0;360;23;54.4;49.2;14.5;34.7;275;47.1;13.3;69.9;267;Pontiac Silverdome;907.52;0
01-02;Detroit Pistons*;82;240.0;34.7;76.8;45.2;6.9;18.4;37.6;27.8;58.4;47.5;18.0;23.8;75.6;9.9;28.9;38.7;21.5;7.9;6.9;14.5;20.7;94.3;10;29.5;0.609756098;0.390243902;0.585365854;0.414634146;2.13;-0.45;104.8;102.4;90.0;310;240;54;49.7;14.3;24.4;235;47.4;14.8;70.5;206;The Palace of Auburn Hills;760.807;0
02-03;Detroit Pistons*;82;242.7;32.9;76.5;43;6.5;18.1;35.8;26.4;58.4;45.2;19.0;24.6;77.1;10.8;29.8;40.6;19.8;6.8;5.7;13.5;21.3;91.4;5;29.0;0.609756098;0.390243902;0.634146341;0.365853659;3.68;-0.71;104.1;99.9;86.8;322;237;52.3;47.3;13.3;25.9;248;46.1;13.9;74.0;225;The Palace of Auburn Hills;839.278;0
90-91;Detroit Pistons*;82;241.5;39.0;83.8;46.5;1.6;5.4;29.8;37.4;78.5;47.6;20.6;27.0;76.3;14.7;29.9;44.6;22.3;5.9;4.5;14.4;22.8;100.1;7;30.5;0.609756098;0.390243902;0.609756098;0.390243902;3.27;-0.19;108.2;104.6;91.9;322;64;52.3;47.4;13.1;34.7;245;46.4;12.8;71.0;248;The Palace of Auburn Hills;879.614;0
83-84;Detroit Pistons*;82;242.7;46.3;96.5;48;0.4;1.7;22.7;45.9;94.7;48.5;24.1;31.1;77.5;17.4;29.7;47.1;27.5;8.5;5.1;16.0;26.5;117.1;6;25.4;0.597560976;0.402439024;0.609756098;0.390243902;3.59;-0.06;111.5;108.1;103.8;322;18;53.2;48.2;12.7;36.7;250;50;14.8;67.7;263;Pontiac Silverdome;652.865;0
91-92;Detroit Pistons*;82;241.2;38.9;83.7;46.5;2.0;6.4;31.4;36.9;77.3;47.7;19.1;25.7;74.3;14.8;29.5;44.3;23.2;6.7;4.4;14.8;20.1;98.9;10;30.1;0.585365854;0.414634146;0.573170732;0.426829268;02.04;0.01;107.5;105.3;91.6;307;77;52;47.7;13.5;34.9;228;46.8;12.5;68.5;204;The Palace of Auburn Hills;879.614;0
98-99;Detroit Pistons*;50;241.0;33.2;74.3;44.7;5.0;13.6;36.5;28.2;60.7;46.5;19.0;25.7;74;12.1;28.2;40.3;20.2;8.9;4.2;15.8;22.8;90.4;6;27.7;0.58;0.42;0.64;0.36;3.42;0.55;104.2;100.3;86.3;345;183;52.8;48;15.6;30.5;256;46.8;15.4;72.0;259;The Palace of Auburn Hills;444.585;0
84-85;Detroit Pistons*;82;241.8;46.8;97.5;48;0.5;2.4;22.6;46.3;95.1;48.7;21.7;27.6;78.8;17.1;30.9;48.0;28.1;8.4;4.8;16.4;25.3;116.0;6;26.9;0.56097561;0.43902439;0.573170732;0.426829268;2.49;0.24;109.6;107.2;105.0;283;25;52.9;48.3;13.0;35.4;223;50.1;14.9;69.6;245;Pontiac Silverdome;691.55;0
85-86;Detroit Pistons*;82;241.2;45.8;94.5;48.4;0.7;2.2;30.2;45.1;92.3;48.9;22.0;28.0;78.3;15.6;30.0;45.6;28.3;9.0;4.1;16.4;25.6;114.2;9;26.5;0.56097561;0.43902439;0.536585366;0.463414634;1.17;0.27;109.0;107.9;104.2;297;23;53.4;48.8;13.3;33.5;232;49.6;14.9;67.6;266;Pontiac Silverdome;695.233;0
95-96;Detroit Pistons*;82;241.8;34.3;74.7;45.9;6.6;16.5;40.4;27.6;58.2;47.5;20.2;26.9;75.1;10.8;29.8;40.5;19.6;6.2;4.3;14.8;23.8;95.4;9;26.8;0.56097561;0.43902439;0.597560976;0.402439024;2.50;-0.05;107.9;105.1;87.7;360;221;55.1;50.4;14.6;28.0;271;48.3;13.7;71.7;229;The Palace of Auburn Hills;730.573;0
15-16;Detroit Pistons*;82;242.4;37.9;86.4;43.9;9.0;26.2;34.5;28.9;60.2;48;17.1;25.5;66.8;12.5;33.9;46.3;19.4;7.0;3.7;13.5;19.0;102.0;14;25.0;0.536585366;0.463414634;0.524390244;0.475609756;0.61;-0.18;106.1;105.5;95.1;296;303;52.2;49.1;12.2;27.0;197;50.4;12.5;79.3;196;The Palace of Auburn Hills;677.138;0
99-00;Detroit Pistons*;82;241.8;37.1;80.9;45.9;5.4;14.9;35.9;31.8;66.0;48.1;23.9;30.6;78.1;11.2;30.0;41.2;20.8;8.1;3.3;15.7;24.5;103.5;12;28.3;0.512195122;0.487804878;0.548780488;0.451219512;1.44;-0.31;107.3;105.8;95.7;378;184;54.8;49.2;14.3;26.8;295;49.9;15.4;71.6;249;The Palace of Auburn Hills;678.47;0
18-19;Detroit Pistons*;82;242.1;38.8;88.3;44;12.1;34.8;34.8;26.7;53.5;50;17.3;23.1;74.7;11.4;33.6;45.0;22.5;6.9;4.0;13.8;22.1;107.0;16;26.9;0.5;0.5;0.487804878;0.512195122;-0.24;-0.31;109.0;109.2;97.4;262;394;54.4;50.9;12.3;24.8;195;52.6;12.8;78.7;211;Little Caesars Arena;675.963;0
08-09;Detroit Pistons*;82;242.7;36.4;80.0;45.4;4.6;13.2;34.9;31.8;66.8;47.5;16.9;22.5;75.1;11.6;29.9;41.4;20.6;6.0;4.6;11.9;20.9;94.2;17;28.2;0.475609756;0.524390244;0.487804878;0.512195122;-0.49;0.13;107.4;108.0;86.7;282;165;52.4;48.3;11.7;27.9;212;48.5;11.7;74.0;248;The Palace of Auburn Hills;896.971;0
21-22;Golden State Warriors;82;240.6;40.5;86.4;46.9;14.3;39.4;36.4;26.2;47;55.7;15.6;20.3;76.9;9.8;35.7;45.5;27.1;8.8;4.5;14.9;21;111;5;27.6;0.646341463;0.353658537;0.670731707;0.329268293;5.54;-0.02;112.5;106.9;98.4;235;456;58.2;55.2;13.5;22.8;181;50.9;13;78.7;201;Chase Center;740,624;1
07-08;Golden State Warriors;82;241.2;41.5;90.3;45.9;9.3;26.6;34.8;32.2;63.7;50.6;18.8;24.9;75.2;12.7;30.4;43.2;22.4;9.1;4.6;13.2;22.9;111.0;13;25.5;0.585365854;0.414634146;0.573170732;0.426829268;2.21;0.17;111.8;109.5;98.8;276;295;54.8;51.1;11.5;27.2;208;50.9;14.7;70.3;258;Oracle Arena;804.864;0
81-82;Golden State Warriors;82;241.2;44.5;89.6;49.6;1.1;4.0;28;43.4;85.7;50.6;20.8;29.0;71.7;15.6;29.9;45.5;22.2;8.4;4.8;17.4;27.1;110.9;8;25.1;0.548780488;0.451219512;0.536585366;0.463414634;01.04;-0.24;108.8;107.7;101.4;324;44;54.1;50.2;14.5;34.8;233;49.3;14.1;68.8;256;Oakland-Alameda County Coliseum Arena;391.726;0
20-21;Golden State Warriors;72;240.3;41.3;88.2;46.8;14.6;38.7;37.6;26.7;49.4;54.1;16.6;21.1;78.5;8.0;35.1;43.0;27.7;8.2;4.8;15.0;21.2;113.7;14;26.7;0.541666667;0.458333333;0.527777778;0.472222222;01.06;0.04;111.1;110.1;102.2;239;439;58.3;55.1;13.3;17.9;188;52.2;13.1;76.6;223;Chase Center;33.457;0
80-81;Golden State Warriors;82;240.6;43.4;88.8;48.9;0.7;2.6;28.6;42.7;86.3;49.5;22.3;30.6;72.7;17.1;28.9;46.0;24.7;7.5;3.7;18.9;26.3;109.8;15;24.4;0.475609756;0.524390244;0.463414634;0.536585366;-1.18;-0.23;108.5;109.7;101.0;345;29;53.7;49.3;15.6;38.8;251;50.7;14.4;67.5;250;Oakland-Alameda County Coliseum Arena;412.969;0
02-03;Golden State Warriors;82;240.9;37.3;84.6;44.1;5.2;15.1;34.4;32.1;69.6;46.2;22.6;29.0;77.8;15.7;31.0;46.7;20.9;7.2;6.2;15.8;21.8;102.4;20;24.4;0.463414634;0.536585366;0.463414634;0.536585366;-1.13;0.54;108.3;109.5;94.2;343;178;52.6;47.2;13.9;35.0;267;48.2;12.2;67.9;220;The Arena in Oakland;634.935;0
03-04;Golden State Warriors;82;242.1;35.1;79.4;44.2;5.2;15.6;33.4;29.8;63.8;46.8;17.9;24.7;72.5;12.2;30.9;43.1;20.5;7.0;4.7;14.8;20.6;93.3;16;28.1;0.451219512;0.548780488;0.475609756;0.524390244;-0.73;0.66;103.0;103.8;89.8;311;197;51.7;47.5;14.1;28.4;226;47.6;13.3;72.1;211;The Arena in Oakland;665.648;0
83-84;Golden State Warriors;82;241.8;42.9;91.9;46.7;0.7;2.8;24.3;42.2;89.1;47.4;23.4;31.4;74.3;17.0;26.5;43.4;22.4;10.1;4.2;18.5;25.7;109.9;20;25.6;0.451219512;0.548780488;0.390243902;0.609756098;-3.40;0.05;105.5;108.8;103.3;342;30;52;47.1;14.9;35.6;254;51.9;17.0;64.2;250;Oakland-Alameda County Coliseum Arena;316.844;0
89-90;Golden State Warriors;82;240.3;42.5;87.9;48.4;3.0;9.1;32.4;39.6;78.8;50.3;28.2;34.9;80.9;11.2;29.1;40.2;24.1;9.2;6.0;17.3;24.5;116.3;20;26.0;0.451219512;0.548780488;0.402439024;0.597560976;-3.13;0.59;109.6;112.6;105.9;397;104;56.3;50.1;14.3;26.1;321;49.4;13.6;61.5;253;Oakland-Alameda County Coliseum Arena;616.025;0
10-11;Golden State Warriors;82;241.8;39.6;85.9;46.1;8.4;21.3;39.2;31.3;64.6;48.4;15.7;20.7;76.1;11.6;28.9;40.5;22.5;9.0;5.0;14.6;22.0;103.4;21;25.2;0.43902439;0.56097561;0.426829268;0.573170732;-2.33;0.33;108.2;110.7;94.8;241;248;54.4;51;13.3;26.7;183;50.9;14.5;69.3;259;Oracle Arena;766.398;0
95-96;Golden State Warriors;82;240.9;37.3;81.7;45.6;5.5;14.6;37.3;31.8;67.1;47.4;21.6;28.5;75.9;14.3;27.9;42.2;23.0;8.6;5.7;16.4;22.4;101.6;18;27.0;0.43902439;0.56097561;0.451219512;0.548780488;-1.45;0.03;108.4;109.9;93.4;349;179;53.9;48.9;14.8;33.9;265;51;15.2;67.2;232;Oakland-Alameda County Coliseum Arena;616.025;0
98-99;Golden State Warriors;50;242.5;34.6;83.5;41.5;3.2;11.3;28.7;31.4;72.2;43.5;15.9;23.5;67.6;16.3;31.2;47.5;20.7;8.3;4.4;15.4;25.4;88.3;24;28.1;0.42;0.58;0.4;0.6;-2.50;-0.13;98.4;101.1;88.9;282;135;47.1;43.4;14.1;35.2;190;44.5;14.0;70.4;290;The Arena in Oakland;335.837;0
04-05;Golden State Warriors;82;242.7;36.9;85.8;43;7.6;21.6;35.2;29.3;64.2;45.7;17.2;23.8;72.2;13.0;29.7;42.7;22.1;7.8;5.1;13.6;22.4;98.7;21;26.7;0.414634146;0.585365854;0.426829268;0.573170732;-2.16;0.42;104.7;106.9;93.3;278;252;51.2;47.5;12.3;27.8;201;49.1;13.9;69.7;227;Oakland Arena;670.368;0
05-06;Golden State Warriors;82;241.8;35.8;82.7;43.3;7.6;22.3;34.1;28.2;60.4;46.7;19.2;26.7;71.8;12.0;30.3;42.3;20.7;7.4;4.4;14.1;23.7;98.5;18;25.6;0.414634146;0.585365854;0.451219512;0.548780488;-1.35;0.25;104.8;106.2;93.3;323;270;52.1;47.9;13.0;26.9;232;49.2;14.1;71.6;243;Oakland Arena;749.185;0
