YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
16-17;Boston Celtics*;82;240.9;38.6;85.1;45.4;12.0;33.4;35.9;26.6;51.7;51.5;18.7;23.2;80.7;9.1;32.9;42.0;25.2;7.5;4.1;13.3;20.6;108.0;8;25.9;0.646341463;0.353658537;0.585365854;0.414634146;2.63;-0.39;111.2;108.4;96.8;273;393;56.7;52.5;12.2;21.2;220;50.3;12.6;75.3;223;TD Garden;760.69;0
89-90;Boston Celtics*;82;240.3;43.5;87.2;49.8;1.3;4.9;26.2;42.2;82.2;51.3;21.8;26.3;83.2;13.0;33.0;46.0;29.5;6.6;5.5;15.3;20.9;110.0;7;30.2;0.634146341;0.365853659;0.62195122;0.37804878;3.99;-0.76;112.0;107.9;98.2;301;57;55.7;50.6;13.4;31.5;251;47.7;10.8;72.1;223;Boston Garden;611.537;0
91-92;Boston Celtics*;82;241.2;43.2;87.8;49.2;1.3;4.4;30.6;41.9;83.4;50.2;18.9;23.4;80.8;13.4;31.5;44.9;25.3;7.8;5.9;14.2;20.6;106.6;7;29.2;0.62195122;0.37804878;0.62195122;0.37804878;3.62;-0.21;110.8;107.0;95.8;266;50;54.4;50;12.7;31.9;215;46.9;11.9;68.7;220;Boston Garden;610.776;0
09-10;Boston Celtics*;82;241.2;37.1;76.8;48.3;6.1;17.5;34.8;31.0;59.3;52.3;19.0;25.5;74.6;8.7;29.9;38.6;23.5;8.5;4.9;14.9;22.1;99.2;9;29.4;0.609756098;0.390243902;0.634146341;0.365853659;3.66;-0.29;107.7;103.8;91.6;332;228;56.4;52.2;14.5;22.8;248;48.7;14.9;73.8;251;TD Garden;763.584;0
01-02;Boston Celtics*;82;241.8;34.8;82.1;42.4;8.5;23.7;35.9;26.3;58.4;45;18.3;23.9;76.4;10.9;31.3;42.2;21.0;9.7;3.6;13.6;21.7;96.4;9;26.2;0.597560976;0.402439024;0.585365854;0.414634146;2.21;-0.46;103.4;101.0;92.5;291;289;52;47.6;12.8;24.1;223;46.4;15.1;72.9;245;FleetCenter;659.751;0
18-19;Boston Celtics*;82;241.2;42.1;90.5;46.5;12.6;34.5;36.5;29.5;56.0;52.7;15.6;19.5;80.2;9.8;34.7;44.5;26.3;8.6;5.3;12.8;20.4;112.4;6;25.7;0.597560976;0.402439024;0.634146341;0.365853659;4.44;-0.54;112.2;107.8;99.6;215;381;56.7;53.4;11.5;21.6;173;51.4;13.4;77.0;198;TD Garden;763.584;0
11-12;Boston Celtics*;66;241.5;35.5;77.1;46;5.5;15.0;36.7;30.0;62.1;48.3;15.4;19.8;77.8;7.7;31.1;38.8;23.6;7.5;5.5;14.8;19.9;91.8;10;29.3;0.590909091;0.409090909;0.590909091;0.409090909;2.52;-0.26;101.0;98.2;90.4;257;194;53.5;49.6;14.7;19.7;200;45.2;14.9;72.4;216;TD Garden;614.592;0
15-16;Boston Celtics*;82;241.2;39.2;89.2;43.9;8.7;26.1;33.5;30.5;63.1;48.3;18.5;23.5;78.8;11.6;33.3;44.9;24.2;9.2;4.2;13.7;21.9;105.7;8;25.2;0.585365854;0.414634146;0.609756098;0.390243902;3.21;-0.37;106.8;103.6;98.5;264;293;53.1;48.8;12.1;25.1;208;48.7;14.6;74.6;231;TD Garden;749.076;0
92-93;Boston Celtics*;82;241.2;42.1;86.5;48.7;1.3;4.7;28.7;40.8;81.8;49.8;18.1;23.3;77.7;13.1;29.7;42.8;24.4;7.9;5.6;14.3;22.7;103.7;13;28.6;0.585365854;0.414634146;0.524390244;0.475609756;0.89;0.04;108.7;107.8;94.9;270;54;53.6;49.5;12.9;31.2;210;47.9;12.9;69.0;251;Boston Garden;608.495;0
04-05;Boston Celtics*;82;242.4;37.1;79.4;46.8;5.3;15.3;34.9;31.8;64.1;49.6;21.6;28.3;76.4;11.1;29.7;40.8;22.1;8.1;5.2;15.8;24.4;101.3;13;27.1;0.548780488;0.451219512;0.524390244;0.475609756;0.87;-0.52;107.5;106.6;93.3;357;192;55.1;50.1;14.7;27.2;273;48.1;14.2;70.1;274;FleetCenter;656.081;0
02-03;Boston Celtics*;82;241.8;32.9;79.4;41.5;8.8;26.3;33.4;24.2;53.1;45.5;18.0;24.3;74.2;10.4;30.1;40.5;19.2;8.8;3.7;14.0;21.4;92.7;18;26.9;0.536585366;0.463414634;0.487804878;0.512195122;-0.39;-0.36;101.2;101.6;90.9;306;331;51.4;47;13.4;23.6;227;47.1;15.1;72.5;242;FleetCenter;709.049;0
